datetime,edit_count,user_count
2017-03-31 00:00:00+00:00,48,4
2017-04-30 00:00:00+00:00,391,12
2017-05-31 00:00:00+00:00,1376,23
2017-06-30 00:00:00+00:00,1048,13
2017-07-31 00:00:00+00:00,297,12
2017-08-31 00:00:00+00:00,1170,6
2017-09-30 00:00:00+00:00,934,10
2017-10-31 00:00:00+00:00,669,5
2017-11-30 00:00:00+00:00,577,9
2017-12-31 00:00:00+00:00,515,7
2018-01-31 00:00:00+00:00,1637,10
2018-02-28 00:00:00+00:00,1386,9
2018-03-31 00:00:00+00:00,919,7
2018-04-30 00:00:00+00:00,687,12
2018-05-31 00:00:00+00:00,1472,15
2018-06-30 00:00:00+00:00,1613,8
2018-07-31 00:00:00+00:00,441,17
2018-08-31 00:00:00+00:00,138,7
2018-09-30 00:00:00+00:00,1482,22
2018-10-31 00:00:00+00:00,2042,16
2018-11-30 00:00:00+00:00,553,12
2018-12-31 00:00:00+00:00,1440,15
2019-01-31 00:00:00+00:00,2003,6
2019-02-28 00:00:00+00:00,1648,11
2019-03-31 00:00:00+00:00,1029,13
2019-04-30 00:00:00+00:00,253,15
2019-05-31 00:00:00+00:00,504,13
2019-06-30 00:00:00+00:00,2221,11
2019-07-31 00:00:00+00:00,1217,10
2019-08-31 00:00:00+00:00,967,11
2019-09-30 00:00:00+00:00,209,11
2019-10-31 00:00:00+00:00,2467,19
2019-11-30 00:00:00+00:00,1803,20
2019-12-31 00:00:00+00:00,1537,14
2020-01-31 00:00:00+00:00,3551,19
2020-02-29 00:00:00+00:00,3126,9
2020-03-31 00:00:00+00:00,694,10
2020-04-30 00:00:00+00:00,1031,15
2020-05-31 00:00:00+00:00,1245,14
2020-06-30 00:00:00+00:00,2279,9
2020-07-31 00:00:00+00:00,2789,14
2020-08-31 00:00:00+00:00,1144,14
2020-09-30 00:00:00+00:00,437,10
2020-10-31 00:00:00+00:00,511,11
2020-11-30 00:00:00+00:00,3189,19
2020-12-31 00:00:00+00:00,7787,17
2021-01-31 00:00:00+00:00,14653,27
2021-02-28 00:00:00+00:00,12073,37
2021-03-31 00:00:00+00:00,5445,29
2021-04-30 00:00:00+00:00,3759,25
2021-05-31 00:00:00+00:00,3965,34
2021-06-30 00:00:00+00:00,4097,19
